Name,Subtitle,BatteryCapacity,TopSpeed,Acceleration,Range,Efficiency,FastChargeSpeed,Drive,Segment,NumberofSeats, PriceinGermany , PriceinUK ,region,address,aux address,type,power
Opel Amperanulle ,Battery Electric Vehicle ,       58 kWh ,150,4.6,335,173,210,Front Wheel Drive,D,5," $42,990 ", $-   ,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhinull 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhinull 110003",DCnull001,15
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle ,       31 kWh ,130,10,160,194,0,Front Wheel Drive,C,5, $-   ," $31,680 ",NDMC,"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhinull 110003","Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhinull 110003",DCnull001,15
Nissan Leaf ,Battery Electric Vehicle ,       36 kWh ,144,4.7,220,164,230,Front Wheel Drive,D,5," $29,990 "," $25,995 ",NDMC,"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003","Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003",DCnull001,15
Audi enulltron Sportback 55 quattro,Battery Electric Vehicle ,       86.5 kWh,200,6.8,375,231,600,All Wheel Drive,D,5, $-   ," $79,900 ",NDMC,"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003","Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003",DCnull001,15
Porsche Taycan Turbo S,Battery Electric Vehicle ,       83.7 kWh,260,9.5,390,215,860,All Wheel Drive,B,4," $186,336 "," $138,830 ",NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhinull 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhinull 110021",DCnull001,15
Nissan enullNV200 Evalia ,Battery Electric Vehicle ,       36 kWh ,123,2.8,165,218,170,Front Wheel Drive,F,7," $43,433 "," $30,255 ",NDMC,"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhinull 110001",DCnull001,15
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle ,       45 kWh,160,9.6,275,164,260,Rear Wheel Drive,C,5," $31,960 "," $27,120 ",NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhinull 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhinull 110001",DCnull001,15
BMW iX3 ,Battery Electric Vehicle ,       74 kWh,180,8.1,385,192,520,Rear Wheel Drive,B,5," $66,300 "," $58,850 ",NDMC,"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhinull 110021","Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhinull 110021",DCnull001,15
Nissan Leaf e+,Battery Electric Vehicle ,       56 kWh ,157,5.6,325,172,390,Front Wheel Drive,D,5," $38,350 "," $30,445 ",NDMC,"Khan Market, Rabindra Nagar, New Delhinull 110003","Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhinull 110003",DCnull001,15
BMW i3 120 Ah,Battery Electric Vehicle ,       37.9 kWh,150,6.3,235,161,270,Rear Wheel Drive,D,4," $39,000 "," $31,305 ",NDMC,"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhinull 110001",DCnull001,15
Mercedes EQA 250,Battery Electric Vehicle ,       66.5 kWh,160,5.1,355,187,420,Front Wheel Drive,D,5," $47,541 "," $43,495 ",NDMC,"Opposite HDFC Bank, Mnull Block, , Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Opposite HDFC Bank, Mnull Block, , Connaught Place, New Delhinull 110001",DCnull001,15
DS 3 Crossback EnullTense,Battery Electric Vehicle ,       45 kWh ,150,7.9,250,180,330,Front Wheel Drive,C,5," $30,040 "," $31,500 ",NDMC,"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhinull 110001",DCnull001,15
BMW i3s 120 Ah,Battery Electric Vehicle ,       37.9 kWh,160,7.9,230,165,260,Rear Wheel Drive,B,4," $42,600 "," $32,305 ",NDMC,"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhinull 110001","Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhinull 110001",DCnull001,15
